Operation,Max(MiB),Min(MiB),Mean(MiB),StdDev,Max(OPs),Min(OPs),Mean(OPs),StdDev,Mean(s),Test#,#Tasks,tPN,reps,fPP,reord,reordoff,reordrand,seed,segcnt,blksiz,xsize,aggs(MiB),API,RefNum,Used(GiB)
write,65.59,65.59,65.59,0.00,16791.88,16791.88,16791.88,0.00,7.80568,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,25.8371
write,74.28,74.28,74.28,0.00,19015.59,19015.59,19015.59,0.00,6.89287,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,26.5354
write,64.65,64.65,64.65,0.00,16549.20,16549.20,16549.20,0.00,7.92014,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,27.2337
write,66.15,66.15,66.15,0.00,16934.81,16934.81,16934.81,0.00,7.73980,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,27.932
write,69.05,69.05,69.05,0.00,17677.86,17677.86,17677.86,0.00,7.41447,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,27.932
write,69.76,69.76,69.76,0.00,17858.12,17858.12,17858.12,0.00,7.33963,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,28.6303
write,64.97,64.97,64.97,0.00,16633.13,16633.13,16633.13,0.00,7.88017,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,29.3286
write,73.01,73.01,73.01,0.00,18689.67,18689.67,18689.67,0.00,7.01307,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,29.3286
write,76.71,76.71,76.71,0.00,19638.02,19638.02,19638.02,0.00,6.67440,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,30.0269
write,69.43,69.43,69.43,0.00,17773.48,17773.48,17773.48,0.00,7.37458,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,30.7252
write,68.47,68.47,68.47,0.00,17527.71,17527.71,17527.71,0.00,7.47799,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,31.4235
write,64.93,64.93,64.93,0.00,16622.39,16622.39,16622.39,0.00,7.88527,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,31.4235
write,66.59,66.59,66.59,0.00,17046.90,17046.90,17046.90,0.00,7.68890,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,32.1218
write,65.91,65.91,65.91,0.00,16873.57,16873.57,16873.57,0.00,7.76789,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,32.8201
write,66.43,66.43,66.43,0.00,17005.15,17005.15,17005.15,0.00,7.70778,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,33.5184
write,67.82,67.82,67.82,0.00,17360.96,17360.96,17360.96,0.00,7.54981,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,33.5184
write,67.64,67.64,67.64,0.00,17316.38,17316.38,17316.38,0.00,7.56925,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,34.2167
write,64.79,64.79,64.79,0.00,16585.63,16585.63,16585.63,0.00,7.90274,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,34.915
write,70.51,70.51,70.51,0.00,18051.82,18051.82,18051.82,0.00,7.26088,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,34.915
write,66.00,66.00,66.00,0.00,16895.64,16895.64,16895.64,0.00,7.75774,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,35.6133
write,69.39,69.39,69.39,0.00,17764.95,17764.95,17764.95,0.00,7.37812,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,36.3116
write,65.66,65.66,65.66,0.00,16808.49,16808.49,16808.49,0.00,7.79796,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,37.0099
write,66.23,66.23,66.23,0.00,16954.01,16954.01,16954.01,0.00,7.73103,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,37.0099
write,64.66,64.66,64.66,0.00,16553.74,16553.74,16553.74,0.00,7.91797,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,37.7082
write,69.15,69.15,69.15,0.00,17701.74,17701.74,17701.74,0.00,7.40447,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,38.4065
write,71.89,71.89,71.89,0.00,18402.90,18402.90,18402.90,0.00,7.12235,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,38.4065
write,71.24,71.24,71.24,0.00,18238.45,18238.45,18238.45,0.00,7.18658,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,39.1048
write,70.24,70.24,70.24,0.00,17980.26,17980.26,17980.26,0.00,7.28977,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,39.8031
write,69.44,69.44,69.44,0.00,17776.57,17776.57,17776.57,0.00,7.37330,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,40.5014
write,65.61,65.61,65.61,0.00,16795.72,16795.72,16795.72,0.00,7.80389,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,40.5014
write,70.14,70.14,70.14,0.00,17955.92,17955.92,17955.92,0.00,7.29966,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,41.1997
write,69.14,69.14,69.14,0.00,17699.00,17699.00,17699.00,0.00,7.40562,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,41.898
write,66.84,66.84,66.84,0.00,17110.98,17110.98,17110.98,0.00,7.66011,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,41.898
write,68.17,68.17,68.17,0.00,17451.75,17451.75,17451.75,0.00,7.51053,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,42.5963
write,70.98,70.98,70.98,0.00,18171.53,18171.53,18171.53,0.00,7.21304,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,43.2946
write,67.40,67.40,67.40,0.00,17253.54,17253.54,17253.54,0.00,7.59682,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,43.9929
write,65.97,65.97,65.97,0.00,16889.30,16889.30,16889.30,0.00,7.76065,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,43.9929
write,82.39,82.39,82.39,0.00,21092.50,21092.50,21092.50,0.00,6.21415,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,44.6912
write,68.67,68.67,68.67,0.00,17580.51,17580.51,17580.51,0.00,7.45553,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,45.3895
write,65.54,65.54,65.54,0.00,16778.88,16778.88,16778.88,0.00,7.81172,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,46.0878
